
**************  Bruce Luo(罗科峰)'s sample test [ATP-3[自动登录教学中心]]  ***************
2016-05-16_15_51_39 	STEP      		Step_2_info->{}
2016-05-16_15_51_39 	NORMAL    	Executing steps
2016-05-16_15_51_39 	STEP      		Step_1_info->action_set_for_http("prepareLogin")
2016-05-16_15_51_39 	STEP      		Step_2_info->action_get_for_http("http://192.168.102.102:8002/portal/ClientApi/prepareLogin")
2016-05-16_15_51_39 	NORMAL    	Executing postcommand
2016-05-16_15_51_39 	STEP      		Step_1_info->action_set_for_http("prepareLogin",user_account=DyData("userAccount"))

**************  Bruce Luo(罗科峰)'s sample test [ATP-3[自动登录教学中心]]  ***************
2016-05-16_15_52_05 	NORMAL    	Executing precommand
2016-05-16_15_52_05 	STEP      		Step_1_info->{}
2016-05-16_15_52_05 	STEP      		Step_2_info->{}
2016-05-16_15_52_05 	NORMAL    	Executing steps
2016-05-16_15_52_05 	STEP      		Step_1_info->action_set_for_http("prepareLogin")
2016-05-16_15_52_05 	STEP      		Step_2_info->action_get_for_http("http://192.168.102.102:8002/portal/ClientApi/prepareLogin")
2016-05-16_15_52_05 	NORMAL    	Executing postcommand
2016-05-16_15_52_05 	STEP      		Step_1_info->action_set_for_http("prepareLogin",user_account=DyData("userAccount"))
2016-05-16_15_52_05 	STEP      		Step_2_info->action_set_for_http("prepareLogin",user_name=DyData("userInfo"))
2016-05-16_15_52_05 	NORMAL    	Executing verify

**************  Bruce Luo(罗科峰)'s sample test [ATP-3[自动登录教学中心]]  ***************
2016-05-16_15_52_18 	NORMAL    	Executing precommand
2016-05-16_15_52_18 	STEP      		Step_1_info->{}
2016-05-16_15_52_18 	STEP      		Step_2_info->{}
2016-05-16_15_52_18 	NORMAL    	Executing steps
2016-05-16_15_52_18 	STEP      		Step_1_info->action_set_for_http("prepareLogin")
2016-05-16_15_52_18 	STEP      		Step_2_info->action_get_for_http("http://192.168.102.102:8002/portal/ClientApi/prepareLogin")
2016-05-16_15_52_18 	NORMAL    	Executing postcommand
2016-05-16_15_52_18 	STEP      		Step_1_info->action_set_for_http("prepareLogin",user_account=DyData("userAccount"))
2016-05-16_15_52_18 	STEP      		Step_2_info->action_set_for_http("prepareLogin",user_name=DyData("userInfo"))
2016-05-16_15_52_18 	NORMAL    	Executing verify
2016-05-16_15_52_18 	NORMAL    	sample message: hello bruce luo.
2016-05-16_15_52_18 	FAIL      		Complete.[Contain("\"resultCode\":0")]

**************  Bruce Luo(罗科峰)'s sample test [ATP-3[自动登录教学中心]]  ***************
2016-05-16_15_53_17 	NORMAL    	Executing precommand
2016-05-16_15_53_17 	STEP      		Step_1_info->{}
2016-05-16_15_53_17 	STEP      		Step_2_info->{}
2016-05-16_15_53_17 	NORMAL    	Executing steps
2016-05-16_15_53_17 	STEP      		Step_1_info->action_set_for_http("prepareLogin")
2016-05-16_15_53_17 	STEP      		Step_2_info->action_get_for_http("http://192.168.102.102:8002/portal/ClientApi/prepareLogin")
2016-05-16_15_53_17 	NORMAL    	Executing postcommand
2016-05-16_15_53_17 	STEP      		Step_1_info->action_set_for_http("prepareLogin",user_account=DyData("userAccount"))
2016-05-16_15_53_17 	STEP      		Step_2_info->action_set_for_http("prepareLogin",user_name=DyData("userInfo"))
2016-05-16_15_53_17 	NORMAL    	Executing verify
2016-05-16_15_53_17 	NORMAL    	sample message: hello bruce luo.
2016-05-16_15_53_17 	FAIL      		Complete.[Contain("\"resultCode\":0")]

**************  Bruce Luo(罗科峰)'s sample test [ATP-3[自动登录教学中心]]  ***************
2016-05-16_15_56_23 	NORMAL    	Executing precommand
2016-05-16_15_56_23 	STEP      		Step_1_info->{}
2016-05-16_15_56_23 	STEP      		Step_2_info->{}
2016-05-16_15_56_23 	NORMAL    	Executing steps
2016-05-16_15_56_23 	STEP      		Step_1_info->action_set_for_http("prepareLogin")
2016-05-16_15_56_23 	STEP      		Step_2_info->action_get_for_http("http://192.168.102.102:8002/portal/ClientApi/prepareLogin")
2016-05-16_15_56_23 	NORMAL    	Executing postcommand
2016-05-16_15_56_23 	STEP      		Step_1_info->action_set_for_http("prepareLogin",user_account=DyData("userAccount"))
2016-05-16_15_56_23 	STEP      		Step_2_info->action_set_for_http("prepareLogin",user_name=DyData("userInfo"))
2016-05-16_15_56_23 	NORMAL    	Executing verify
2016-05-16_15_56_23 	NORMAL    	sample message: hello bruce luo.
2016-05-16_15_56_23 	FAIL      		Complete.[Contain("\"resultCode\":0")]

**************  Bruce Luo(罗科峰)'s sample test [ATP-3[自动登录教学中心]]  ***************
2016-05-16_16_02_26 	NORMAL    	Executing precommand
2016-05-16_16_02_26 	STEP      		Step_1_info->{}
2016-05-16_16_02_26 	STEP      		Step_2_info->{}
2016-05-16_16_02_26 	NORMAL    	Executing steps
2016-05-16_16_02_26 	STEP      		Step_1_info->action_set_for_http("prepareLogin")
2016-05-16_16_02_26 	STEP      		Step_2_info->action_get_for_http("http://192.168.102.102:8002/portal/ClientApi/prepareLogin")
2016-05-16_16_02_26 	NORMAL    	Executing postcommand
2016-05-16_16_02_26 	STEP      		Step_1_info->action_set_for_http("prepareLogin",user_account=DyData("userAccount"))
2016-05-16_16_02_26 	STEP      		Step_2_info->action_set_for_http("prepareLogin",user_name=DyData("userInfo"))
2016-05-16_16_02_26 	NORMAL    	Executing verify
2016-05-16_16_02_26 	NORMAL    	看，飞机，飞机，飞机！！！
2016-05-16_16_02_26 	FAIL      		Complete.[Contain("\"resultCode\":0")]
