
**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-13_20_39_21 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click1() 
2016-09-13_20_39_21 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-13_20_39_21 	NORMAL    	Executing postcommand
2016-09-13_20_39_21 	NORMAL    	Executing verify
2016-09-13_20_39_21 	NORMAL    		实际测试结果：[]
2016-09-13_20_39_21 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-13_20_43_59 	NORMAL    	Executing precommand
2016-09-13_20_43_59 	NORMAL    	Executing steps
2016-09-13_20_43_59 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-13_20_43_59 	PASS      		Step pass.
2016-09-13_20_43_59 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-13_20_44_09 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-13_20_44_09 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-13_20_44_09 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-13_20_44_09 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click1() 
2016-09-13_20_44_09 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-13_20_44_09 	NORMAL    	Executing postcommand
2016-09-13_20_44_09 	NORMAL    	Executing verify
2016-09-13_20_44_09 	NORMAL    		实际测试结果：[]
2016-09-13_20_44_09 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-13_20_54_42 	NORMAL    	Executing precommand
2016-09-13_20_54_42 	NORMAL    	Executing steps
2016-09-13_20_54_42 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-13_20_54_42 	PASS      		Step pass.
2016-09-13_20_54_42 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-13_20_54_52 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-13_20_54_52 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-13_20_54_52 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-13_20_54_52 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click1() 
2016-09-13_20_54_52 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-13_20_54_52 	NORMAL    	Executing postcommand
2016-09-13_20_54_52 	NORMAL    	Executing verify
2016-09-13_20_54_52 	NORMAL    		实际测试结果：[]
2016-09-13_20_54_52 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-13_20_57_29 	NORMAL    	Executing precommand
2016-09-13_20_57_29 	NORMAL    	Executing steps
2016-09-13_20_57_29 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-13_20_57_29 	PASS      		Step pass.
2016-09-13_20_57_29 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
